Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Corea, República de",KOR,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,15.50411523,15.3102171,15.64279108,15.35319114,15.14933799,15.02899071,14.57600345,14.32365911,14.08941756,,,
Kuwait,KWT,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,0.561167228,0.589225589,0.561167228,0.650953984,0.533108866,0.432098765,0.448933782,0.482603816,0.448933782,,,
América Latina y el Caribe (excluido altos ingresos),LAC,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,7.542875414,7.589725598,7.626334318,7.658515042,7.59030605,7.693996127,7.820459946,8.167826932,8.17828641,,,
República Democrática Popular Lao,LAO,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,6.065857886,6.187175043,6.282495667,6.451473137,6.91507799,7.149046794,7.149046794,6.932409012,6.715771231,,,
Líbano,LBN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,11.14369501,12.21896383,12.90322581,12.90322581,12.90322581,12.90322581,12.90322581,12.90322581,12.90322581,,,
Liberia,LBR,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,4.983388704,5.1910299,5.1910299,5.1910299,5.1910299,5.1910299,5.1910299,5.1910299,5.1910299,,,
Libia,LBY,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,0.975254896,0.975254896,0.977528218,0.977528218,0.977528218,0.977528218,0.977528218,0.977528218,0.977528218,,,
Santa Lucía,LCA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,4.918032787,4.918032787,4.918032787,4.918032787,4.918032787,4.918032787,4.918032787,4.918032787,4.918032787,,,
América Latina y el Caribe,LCN,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,7.155454659,7.215964733,7.237559178,7.275236648,7.210278337,7.305162433,7.407252152,7.719900878,7.724455121,,,
Países menos desarrollados: clasificación de las Naciones Unidas,LDC,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,8.307861606,8.658683226,9.030236838,9.134871006,9.174416405,9.199591489,9.241532302,9.237083674,9.248243322,,,
Países de ingreso bajo,LIC,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,7.977855762,8.435232159,8.838393311,8.962183753,9.002959816,9.016551003,9.052921308,9.039335459,9.054049201,,,
Liechtenstein,LIE,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,20.625,18.75,18.75,16.25,14.5,13.5,13.5,13.5,13.5,,,
Sri Lanka,LKA,Tierras cultivables (% del área de tierra),AG.LND.ARBL.ZS,19.13570403,20.73034604,19.93302504,20.73034604,20.73034604,21.00399076,21.16555992,21.33036046,22.17121428,,,
